院所,時段,星期,診次,醫師,隔週,星號註記,附註
晶悅,14:00~16:30,週三,午診,蔡季軒,,,
晶悅,14:00~16:30,週三,午診,鄭博文,,,
晶悅,18:00~20:30,週三,晚診,林智俊,,,
晶悅,18:00~20:30,週三,晚診,王泳泉,,,
晶悅,18:00~20:30,週三,晚診,陳昺元,,,
晶悅,18:00~20:30,週三,晚診,鄭博文,,,
晶悅,09:00~11:30,週四,早診,鄭漢賢,,,
晶悅,09:00~11:30,週四,早診,鄭博文,,,
晶悅,14:00~16:30,週四,午診,黃榆鈞,,,每月1日15:30後
晶悅,14:00~16:30,週四,午診,鄭漢賢,,,
晶悅,14:00~16:30,週四,午診,徐平,,,
晶悅,14:00~16:30,週四,午診,鄭博文,,,
晶悅,18:00~20:30,週四,晚診,黃榆鈞,,,每月1日
晶悅,18:00~20:30,週四,晚診,徐平,,,
晶悅,18:00~20:30,週四,晚診,鄭博文,,,
晶悅,09:00~11:30,週五,早診,蔡季軒,,,
晶悅,09:00~11:30,週五,早診,朱柏非,,,
晶悅,14:00~16:30,週五,午診,林智俊,,,
晶悅,14:00~16:30,週五,午診,蔡季軒,,,
晶悅,14:00~16:30,週五,午診,朱柏非,,,
晶悅,14:00~16:30,週五,午診,翁崎紘,,非每週固定,
晶悅,14:00~16:30,週五,午診,鄭博文,,,
晶悅,18:00~20:30,週五,晚診,林智俊,,,
晶悅,18:00~20:30,週五,晚診,蔡季軒,,,
晶悅,18:00~20:30,週五,晚診,朱柏非,,,
晶悅,18:00~20:30,週五,晚診,翁崎紘,,非每週固定,
晶悅,18:00~20:30,週五,晚診,鄭博文,,,
晶悅,09:00~11:30,週六,早診,林智俊,隔週,,
晶悅,09:00~11:30,週六,早診,王泳泉,,,
晶悅,09:00~11:30,週六,早診,林紫亭,,,
晶悅,09:00~11:30,週六,早診,陳昺元,隔週,,
晶悅,09:00~11:30,週六,早診,温翊君,,,
晶悅,09:00~11:30,週六,早診,朱柏非,隔週,,
晶悅,09:00~11:30,週六,早診,鄭漢賢,,,
晶悅,09:00~11:30,週六,早診,鄭博文,,,
晶悅,14:00~16:30,週六,午診,林紫亭,,,
晶悅,14:00~16:30,週六,午診,陳昺元,隔週,,
晶悅,14:00~16:30,週六,午診,温翊君,,,
晶悅,14:00~16:30,週六,午診,朱柏非,隔週,,
晶悅,14:00~16:30,週六,午診,鄭漢賢,,,
晶悅,14:00~16:30,週六,午診,鄭博文,,,
晶悅,18:00~20:30,週六,晚診,休診,,,
晶睿,09:00~11:30,週一,早診,賴敏傑,,,
晶睿,09:00~11:30,週一,早診,許博諺,,,
晶睿,09:00~11:30,週一,早診,陳爵安,,,
晶睿,14:00~16:30,週一,午診,陳立軒,,,
晶睿,14:00~16:30,週一,午診,賴敏傑,,,
晶睿,14:00~16:30,週一,午診,王泳泉,隔週,,
晶睿,14:00~16:30,週一,午診,許博諺,,,
晶睿,18:00~20:30,週一,晚診,陳立軒,,,
晶睿,18:00~20:30,週一,晚診,賴敏傑,,,
晶睿,18:00~20:30,週一,晚診,王泳泉,隔週,,
晶睿,18:00~20:30,週一,晚診,許博諺,,,
晶睿,09:00~11:30,週二,早診,温健成,,,
晶睿,09:00~11:30,週二,早診,余柏萱,,,
晶睿,14:00~16:30,週二,午診,温健成,,,
晶睿,14:00~16:30,週二,午診,劉立德,,,
晶睿,14:00~16:30,週二,午診,余柏萱,,,
晶睿,18:00~20:30,週二,晚診,温健成,,,
晶睿,18:00~20:30,週二,晚診,劉立德,,,
晶睿,18:00~20:30,週二,晚診,陳志僑,,,
晶睿,18:00~20:30,週二,晚診,余柏萱,,,
晶睿,09:00~11:30,週三,早診,劉立德,隔週,,
晶睿,09:00~11:30,週三,早診,余柏萱,,,
晶睿,09:00~11:30,週三,早診,陳爵安,,,
晶睿,14:00~16:30,週三,午診,劉立德,隔週,,
晶睿,14:00~16:30,週三,午診,陳立軒,,,
晶睿,14:00~16:30,週三,午診,余柏萱,,,
晶睿,18:00~20:30,週三,晚診,陳立軒,,,
晶睿,18:00~20:30,週三,晚診,余柏萱,,,
晶睿,18:00~20:30,週三,晚診,陳爵安,,,
晶睿,09:00~11:30,週四,早診,温健成,,,
晶睿,09:00~11:30,週四,早診,劉玠旻,,,
晶睿,09:00~11:30,週四,早診,賴敏傑,,,
晶睿,09:00~11:30,週四,早診,吳柏賢,,,
晶睿,14:00~16:30,週四,午診,温健成,,,
晶睿,14:00~16:30,週四,午診,劉玠旻,,,
晶睿,14:00~16:30,週四,午診,吳柏賢,,,
晶睿,18:00~20:30,週四,晚診,温健成,,,
晶睿,18:00~20:30,週四,晚診,吳柏賢,,,
晶睿,09:00~11:30,週五,早診,余柏萱,,,
晶睿,09:00~11:30,週五,早診,陳爵安,,,
晶睿,14:00~16:30,週五,午診,劉立德,,,
晶睿,14:00~16:30,週五,午診,許博諺,,,
晶睿,14:00~16:30,週五,午診,陳爵安,,,
晶睿,18:00~20:30,週五,晚診,劉立德,,,
晶睿,18:00~20:30,週五,晚診,許博諺,,,
晶睿,18:00~20:30,週五,晚診,陳爵安,,,
晶睿,09:00~11:30,週六,早診,温健成,隔週,,
晶睿,09:00~11:30,週六,早診,吳柏賢,,,
晶睿,09:00~11:30,週六,早診,余柏萱,,,
晶睿,09:00~11:30,週六,早診,陳爵安,,,
晶睿,14:00~16:30,週六,午診,温健成,隔週,,
晶睿,14:00~16:30,週六,午診,吳柏賢,,,
晶睿,14:00~16:30,週六,午診,余柏萱,,,
晶睿,14:00~16:30,週六,午診,陳爵安,,,
晶睿,18:00~20:30,週六,晚診,休診,,,
晶匯,09:00~11:30,週一,早診,吳冠廷,,,
晶匯,14:00~16:30,週一,午診,温健成,,,
晶匯,14:00~16:30,週一,午診,楊孟庭,隔週,,
晶匯,14:00~16:30,週一,午診,吳冠廷,,,
晶匯,18:00~20:30,週一,晚診,温健成,,,
晶匯,18:00~20:30,週一,晚診,楊孟庭,隔週,,
晶匯,18:00~20:30,週一,晚診,吳冠廷,,,
晶匯,09:00~11:30,週二,早診,陳立軒,,,
晶匯,09:00~11:30,週二,早診,鄭漢賢,,,
晶匯,14:00~16:30,週二,午診,鄭漢賢,,,
晶匯,18:00~20:30,週二,晚診,鄭漢賢,,,
晶匯,09:00~11:30,週三,早診,朱柏非,,,
晶匯,14:00~16:30,週三,午診,温健成,,,
晶匯,14:00~16:30,週三,午診,朱柏非,,,
晶匯,14:00~16:30,週三,午診,林紓安,隔週,,
晶匯,18:00~20:30,週三,晚診,温健成,,,
晶匯,18:00~20:30,週三,晚診,朱柏非,,,
晶匯,18:00~20:30,週三,晚診,林紓安,隔週,,
晶匯,09:00~11:30,週四,早診,陳立軒,,,
晶匯,09:00~11:30,週四,早診,吳冠廷,,,
晶匯,14:00~16:30,週四,午診,陳立軒,,,
晶匯,14:00~16:30,週四,午診,林智俊,,,
晶匯,14:00~16:30,週四,午診,吳冠廷,,,
晶匯,18:00~20:30,週四,晚診,陳立軒,,,
晶匯,18:00~20:30,週四,晚診,林智俊,,,
晶匯,18:00~20:30,週四,晚診,吳冠廷,,,
晶匯,09:00~11:30,週五,早診,陳昺元,,,
晶匯,09:00~11:30,週五,早診,鄭漢賢,,,
晶匯,14:00~16:30,週五,午診,陳昺元,,,
晶匯,14:00~16:30,週五,午診,鄭漢賢,,,
晶匯,18:00~20:30,週五,晚診,陳昺元,,,
晶匯,18:00~20:30,週五,晚診,鄭漢賢,,,
晶匯,09:00~11:30,週六,早診,陳昺元,隔週,,
晶匯,09:00~11:30,週六,早診,朱柏非,隔週,,
晶匯,09:00~11:30,週六,早診,楊孟庭,隔週,,
晶匯,14:00~16:30,週六,午診,陳昺元,隔週,,
晶匯,14:00~16:30,週六,午診,朱柏非,隔週,,
晶匯,14:00~16:30,週六,午診,楊孟庭,隔週,,
晶匯,18:00~20:30,週六,晚診,休診,,,
晶曜,09:00~11:30,週一,早診,劉立德,,,
晶曜,09:00~11:30,週一,早診,吳柏賢,,,
晶曜,14:00~16:30,週一,午診,劉立德,,,
晶曜,14:00~16:30,週一,午診,徐平,,,
晶曜,14:00~16:30,週一,午診,吳柏賢,,,
晶曜,18:00~20:30,週一,晚診,劉立德,,,
晶曜,18:00~20:30,週一,晚診,徐平,,,
晶曜,18:00~20:30,週一,晚診,吳柏賢,,,
晶曜,09:00~11:30,週二,早診,林智俊,,,
晶曜,09:00~11:30,週二,早診,許博諺,,,
晶曜,14:00~16:30,週二,午診,林智俊,,,
晶曜,14:00~16:30,週二,午診,陳立軒,,,
晶曜,14:00~16:30,週二,午診,許博諺,,,
晶曜,18:00~20:30,週二,晚診,陳立軒,,,
晶曜,18:00~20:30,週二,晚診,許博諺,,,
晶曜,09:00~11:30,週三,早診,劉立德,隔週,,
晶曜,09:00~11:30,週三,早診,吳柏賢,,,
晶曜,14:00~16:30,週三,午診,劉立德,隔週,,
晶曜,14:00~16:30,週三,午診,劉玠旻,,,
晶曜,14:00~16:30,週三,午診,徐平,,,
晶曜,14:00~16:30,週三,午診,吳柏賢,,,
晶曜,18:00~20:30,週三,晚診,徐平,,,
晶曜,18:00~20:30,週三,晚診,吳柏賢,,,
晶曜,09:00~11:30,週四,早診,劉立德,,,
晶曜,09:00~11:30,週四,早診,許博諺,,,
晶曜,14:00~16:30,週四,午診,劉立德,,,
晶曜,14:00~16:30,週四,午診,許博諺,,,
晶曜,18:00~20:30,週四,晚診,劉立德,,,
晶曜,18:00~20:30,週四,晚診,許博諺,,,
晶曜,09:00~11:30,週五,早診,陳立軒,,,
晶曜,14:00~16:30,週五,午診,陳立軒,,,
晶曜,14:00~16:30,週五,午診,徐平,,,
晶曜,14:00~16:30,週五,午診,吳柏賢,,,
晶曜,18:00~20:30,週五,晚診,陳立軒,,,
晶曜,18:00~20:30,週五,晚診,徐平,,,
晶曜,18:00~20:30,週五,晚診,吳柏賢,,,
晶曜,09:00~11:30,週六,早診,陳立軒,隔週,,
晶曜,09:00~11:30,週六,早診,徐平,隔週,,
晶曜,09:00~11:30,週六,早診,許博諺,,,
晶曜,14:00~16:30,週六,午診,陳立軒,隔週,,
晶曜,14:00~16:30,週六,午診,徐平,隔週,,
晶曜,14:00~16:30,週六,午診,許博諺,,,
晶曜,18:00~20:30,週六,晚診,休診,,,
寶貝牙,09:00~14:00,週一,早診,休診,,,
寶貝牙,14:00~17:00,週一,午診,林紓安,,,
寶貝牙,17:30~21:00,週一,晚診,林紓安,,,
寶貝牙,09:00~14:00,週二,早診,休診,,,
寶貝牙,14:00~17:00,週二,午診,黃榆鈞,,非每週固定,
寶貝牙,17:30~21:00,週二,晚診,黃榆鈞,,,
寶貝牙,09:00~14:00,週三,早診,休診,,,
寶貝牙,14:00~17:00,週三,午診,黃育亭,,,
寶貝牙,17:30~21:00,週三,晚診,黃育亭,,,
寶貝牙,09:00~14:00,週四,早診,休診,,,
寶貝牙,14:00~17:00,週四,午診,陳昺元,,,
寶貝牙,14:00~17:00,週四,午診,朱柏非,,,
寶貝牙,17:30~21:00,週四,晚診,陳昺元,,,
寶貝牙,17:30~21:00,週四,晚診,朱柏非,,,
寶貝牙,09:00~14:00,週五,早診,休診,,,
寶貝牙,14:00~17:00,週五,午診,林紓安,,,
寶貝牙,14:00~17:00,週五,午診,余柏萱,,,
寶貝牙,17:30~21:00,週五,晚診,林紓安,,,
寶貝牙,17:30~21:00,週五,晚診,余柏萱,,,
寶貝牙,09:00~14:00,週六,早診,黃育亭,,非每週固定,
寶貝牙,09:00~14:00,週六,早診,黃榆鈞,,非每週固定,
寶貝牙,09:00~14:00,週六,早診,黃婷愉,,非每週固定,
寶貝牙,14:00~17:00,週六,午診,黃育亭,,非每週固定,
寶貝牙,14:00~17:00,週六,午診,黃榆鈞,,非每週固定,
寶貝牙,14:00~17:00,週六,午診,黃婷愉,,非每週固定,
寶貝牙,17:30~21:00,週六,晚診,休診,,,
